SKU,日期,销量,渠道
SKU002,2024-05-02,30,独立站
SKU003,2024-05-02,209,亚马逊
SKU003,2024-05-02,79,独立站
SKU001,2024-05-03,147,亚马逊
SKU001,2024-05-03,49,独立站
SKU002,2024-05-03,90,亚马逊
SKU002,2024-05-03,41,独立站
SKU003,2024-05-03,189,亚马逊
SKU003,2024-05-03,78,独立站
SKU001,2024-05-04,149,亚马逊
SKU001,2024-05-04,52,独立站
SKU002,2024-05-04,82,亚马逊
SKU002,2024-05-04,33,独立站
SKU003,2024-05-04,201,亚马逊
SKU003,2024-05-04,77,独立站
SKU001,2024-05-05,166,亚马逊
SKU001,2024-05-05,56,独立站
SKU002,2024-05-05,98,亚马逊
SKU002,2024-05-05,43,独立站
SKU003,2024-05-05,218,亚马逊
SKU003,2024-05-05,90,独立站
SKU001,2024-05-06,147,亚马逊
SKU001,2024-05-06,57,独立站
SKU002,2024-05-06,82,亚马逊
SKU002,2024-05-06,35,独立站
SKU003,2024-05-06,172,亚马逊
SKU003,2024-05-06,80,独立站
SKU001,2024-05-07,130,亚马逊
SKU001,2024-05-07,65,独立站
SKU002,2024-05-07,88,亚马逊
SKU002,2024-05-07,39,独立站
SKU003,2024-05-07,161,亚马逊
SKU003,2024-05-07,70,独立站
SKU001,2024-05-08,134,亚马逊
SKU001,2024-05-08,52,独立站
SKU002,2024-05-08,80,亚马逊
SKU002,2024-05-08,35,独立站
SKU003,2024-05-08,170,亚马逊
SKU003,2024-05-08,90,独立站
SKU001,2024-05-09,119,亚马逊
SKU001,2024-05-09,57,独立站
SKU002,2024-05-09,99,亚马逊
SKU002,2024-05-09,35,独立站
SKU003,2024-05-09,197,亚马逊
SKU003,2024-05-09,89,独立站
SKU001,2024-05-10,113,亚马逊
SKU001,2024-05-10,49,独立站
SKU002,2024-05-10,82,亚马逊
SKU002,2024-05-10,32,独立站
SKU003,2024-05-10,239,亚马逊
SKU003,2024-05-10,85,独立站
SKU001,2024-05-11,125,亚马逊
SKU001,2024-05-11,52,独立站
SKU002,2024-05-11,83,亚马逊
SKU002,2024-05-11,47,独立站
SKU003,2024-05-11,180,亚马逊
SKU003,2024-05-11,90,独立站
SKU001,2024-05-12,148,亚马逊
SKU001,2024-05-12,65,独立站
SKU002,2024-05-12,87,亚马逊
SKU002,2024-05-12,43,独立站
SKU003,2024-05-12,210,亚马逊
SKU003,2024-05-12,95,独立站
SKU001,2024-05-13,136,亚马逊
SKU001,2024-05-13,62,独立站
SKU002,2024-05-13,94,亚马逊
SKU002,2024-05-13,33,独立站
SKU003,2024-05-13,218,亚马逊
SKU003,2024-05-13,77,独立站
SKU001,2024-05-14,145,亚马逊
SKU001,2024-05-14,59,独立站
SKU002,2024-05-14,87,亚马逊
SKU002,2024-05-14,39,独立站
SKU003,2024-05-14,179,亚马逊
SKU003,2024-05-14,89,独立站
SKU001,2024-05-15,117,亚马逊
SKU001,2024-05-15,49,独立站
SKU002,2024-05-15,97,亚马逊
SKU002,2024-05-15,40,独立站
SKU003,2024-05-15,189,亚马逊
SKU003,2024-05-15,73,独立站
SKU001,2024-05-16,142,亚马逊
SKU001,2024-05-16,45,独立站
SKU002,2024-05-16,89,亚马逊
SKU002,2024-05-16,35,独立站
SKU003,2024-05-16,217,亚马逊
SKU003,2024-05-16,104,独立站
SKU001,2024-05-17,145,亚马逊
SKU001,2024-05-17,54,独立站
SKU002,2024-05-17,104,亚马逊
SKU002,2024-05-17,36,独立站
SKU003,2024-05-17,183,亚马逊
SKU003,2024-05-17,78,独立站
SKU001,2024-05-18,137,亚马逊
SKU001,2024-05-18,61,独立站
SKU002,2024-05-18,82,亚马逊
SKU002,2024-05-18,36,独立站
SKU003,2024-05-18,181,亚马逊
SKU003,2024-05-18,93,独立站
SKU001,2024-05-19,141,亚马逊
SKU001,2024-05-19,62,独立站
SKU002,2024-05-19,86,亚马逊
SKU002,2024-05-19,39,独立站
SKU003,2024-05-19,200,亚马逊
SKU003,2024-05-19,69,独立站
SKU001,2024-05-20,133,亚马逊
SKU001,2024-05-20,46,独立站
SKU002,2024-05-20,109,亚马逊
SKU002,2024-05-20,40,独立站
SKU003,2024-05-20,188,亚马逊
SKU003,2024-05-20,93,独立站
SKU001,2024-05-21,120,亚马逊
SKU001,2024-05-21,48,独立站
SKU002,2024-05-21,88,亚马逊
SKU002,2024-05-21,37,独立站
SKU003,2024-05-21,179,亚马逊
SKU003,2024-05-21,95,独立站
SKU001,2024-05-22,145,亚马逊
SKU001,2024-05-22,61,独立站
SKU002,2024-05-22,103,亚马逊
SKU002,2024-05-22,47,独立站
SKU003,2024-05-22,180,亚马逊
SKU003,2024-05-22,72,独立站
SKU001,2024-05-23,133,亚马逊
SKU001,2024-05-23,64,独立站
SKU002,2024-05-23,87,亚马逊
SKU002,2024-05-23,39,独立站
SKU003,2024-05-23,169,亚马逊
SKU003,2024-05-23,75,独立站
SKU001,2024-05-24,140,亚马逊
SKU001,2024-05-24,61,独立站
SKU002,2024-05-24,90,亚马逊
SKU002,2024-05-24,40,独立站
SKU003,2024-05-24,192,亚马逊
SKU003,2024-05-24,95,独立站
SKU001,2024-05-25,142,亚马逊
SKU001,2024-05-25,47,独立站
SKU002,2024-05-25,94,亚马逊
SKU002,2024-05-25,33,独立站
SKU003,2024-05-25,233,亚马逊
SKU003,2024-05-25,104,独立站
SKU001,2024-05-26,134,亚马逊
SKU001,2024-05-26,59,独立站
SKU002,2024-05-26,101,亚马逊
SKU002,2024-05-26,39,独立站
SKU003,2024-05-26,193,亚马逊
SKU003,2024-05-26,94,独立站
SKU001,2024-05-27,139,亚马逊
SKU001,2024-05-27,64,独立站
SKU002,2024-05-27,104,亚马逊
SKU002,2024-05-27,33,独立站
SKU003,2024-05-27,214,亚马逊
SKU003,2024-05-27,78,独立站
SKU001,2024-05-28,139,亚马逊
SKU001,2024-05-28,63,独立站
SKU002,2024-05-28,102,亚马逊
SKU002,2024-05-28,38,独立站
SKU003,2024-05-28,231,亚马逊
SKU003,2024-05-28,98,独立站
SKU001,2024-05-29,134,亚马逊
SKU001,2024-05-29,52,独立站
SKU002,2024-05-29,89,亚马逊
SKU002,2024-05-29,32,独立站
SKU003,2024-05-29,188,亚马逊
SKU003,2024-05-29,81,独立站
SKU001,2024-05-30,142,亚马逊
SKU001,2024-05-30,62,独立站
SKU002,2024-05-30,77,亚马逊
SKU002,2024-05-30,34,独立站
SKU003,2024-05-30,225,亚马逊
SKU003,2024-05-30,92,独立站
SKU001,2024-05-31,137,亚马逊
SKU001,2024-05-31,67,独立站
SKU002,2024-05-31,64,亚马逊
SKU002,2024-05-31,30,独立站
SKU003,2024-05-31,217,亚马逊
SKU003,2024-05-31,93,独立站
SKU001,2024-06-01,135,亚马逊
SKU001,2024-06-01,60,独立站
SKU002,2024-06-01,104,亚马逊
SKU002,2024-06-01,43,独立站
SKU003,2024-06-01,175,亚马逊
SKU003,2024-06-01,92,独立站
SKU001,2024-06-02,108,亚马逊
SKU001,2024-06-02,60,独立站
SKU002,2024-06-02,76,亚马逊
SKU002,2024-06-02,30,独立站
SKU003,2024-06-02,165,亚马逊
SKU003,2024-06-02,71,独立站
SKU001,2024-06-03,117,亚马逊
SKU001,2024-06-03,55,独立站
SKU002,2024-06-03,95,亚马逊
SKU002,2024-06-03,35,独立站
SKU003,2024-06-03,151,亚马逊
SKU003,2024-06-03,75,独立站
SKU001,2024-06-04,109,亚马逊
SKU001,2024-06-04,52,独立站
SKU002,2024-06-04,79,亚马逊
SKU002,2024-06-04,31,独立站
SKU003,2024-06-04,210,亚马逊
SKU003,2024-06-04,78,独立站
SKU001,2024-06-05,107,亚马逊
SKU001,2024-06-05,55,独立站
SKU002,2024-06-05,101,亚马逊
SKU002,2024-06-05,39,独立站
SKU003,2024-06-05,166,亚马逊
SKU003,2024-06-05,70,独立站
SKU001,2024-06-06,127,亚马逊
SKU001,2024-06-06,51,独立站
SKU002,2024-06-06,80,亚马逊
SKU002,2024-06-06,29,独立站
SKU003,2024-06-06,188,亚马逊
SKU003,2024-06-06,72,独立站
SKU001,2024-06-07,121,亚马逊
SKU001,2024-06-07,49,独立站
SKU002,2024-06-07,85,亚马逊
SKU002,2024-06-07,32,独立站
SKU003,2024-06-07,172,亚马逊
SKU003,2024-06-07,70,独立站
SKU001,2024-06-08,108,亚马逊
SKU001,2024-06-08,56,独立站
SKU002,2024-06-08,79,亚马逊
SKU002,2024-06-08,35,独立站
SKU003,2024-06-08,214,亚马逊
SKU003,2024-06-08,89,独立站
SKU001,2024-06-09,113,亚马逊
SKU001,2024-06-09,53,独立站
SKU002,2024-06-09,96,亚马逊
SKU002,2024-06-09,44,独立站
SKU003,2024-06-09,174,亚马逊
SKU003,2024-06-09,70,独立站
SKU001,2024-06-10,119,亚马逊
SKU001,2024-06-10,65,独立站
SKU002,2024-06-10,71,亚马逊
SKU002,2024-06-10,32,独立站
SKU003,2024-06-10,146,亚马逊
SKU003,2024-06-10,72,独立站
SKU001,2024-06-11,138,亚马逊
SKU001,2024-06-11,55,独立站
SKU002,2024-06-11,73,亚马逊
SKU002,2024-06-11,29,独立站
SKU003,2024-06-11,225,亚马逊
SKU003,2024-06-11,88,独立站
SKU001,2024-06-12,114,亚马逊
SKU001,2024-06-12,51,独立站
SKU002,2024-06-12,79,亚马逊
SKU002,2024-06-12,37,独立站
SKU003,2024-06-12,162,亚马逊
SKU003,2024-06-12,81,独立站
SKU001,2024-06-13,109,亚马逊
SKU001,2024-06-13,52,独立站
SKU002,2024-06-13,79,亚马逊
SKU002,2024-06-13,30,独立站
SKU003,2024-06-13,219,亚马逊
SKU003,2024-06-13,76,独立站
SKU001,2024-06-14,124,亚马逊
SKU001,2024-06-14,49,独立站
SKU002,2024-06-14,88,亚马逊
SKU002,2024-06-14,39,独立站
SKU003,2024-06-14,160,亚马逊
SKU003,2024-06-14,84,独立站
SKU001,2024-06-15,134,亚马逊
SKU001,2024-06-15,56,独立站
SKU002,2024-06-15,69,亚马逊
SKU002,2024-06-15,32,独立站
SKU003,2024-06-15,149,亚马逊
SKU003,2024-06-15,82,独立站
SKU001,2024-06-16,113,亚马逊
SKU001,2024-06-16,44,独立站
SKU002,2024-06-16,77,亚马逊
SKU002,2024-06-16,32,独立站
SKU003,2024-06-16,172,亚马逊
SKU003,2024-06-16,65,独立站
SKU001,2024-06-17,118,亚马逊
SKU001,2024-06-17,58,独立站
SKU002,2024-06-17,90,亚马逊
SKU002,2024-06-17,37,独立站
SKU003,2024-06-17,150,亚马逊
SKU003,2024-06-17,71,独立站
SKU001,2024-06-18,118,亚马逊
SKU001,2024-06-18,59,独立站
SKU002,2024-06-18,85,亚马逊
SKU002,2024-06-18,38,独立站
SKU003,2024-06-18,160,亚马逊
SKU003,2024-06-18,85,独立站
SKU001,2024-06-19,126,亚马逊
SKU001,2024-06-19,56,独立站
SKU002,2024-06-19,77,亚马逊
SKU002,2024-06-19,36,独立站
SKU003,2024-06-19,160,亚马逊
SKU003,2024-06-19,62,独立站
SKU001,2024-06-20,103,亚马逊
SKU001,2024-06-20,45,独立站
SKU002,2024-06-20,93,亚马逊
SKU002,2024-06-20,34,独立站
SKU003,2024-06-20,177,亚马逊
SKU003,2024-06-20,80,独立站
SKU001,2024-06-21,119,亚马逊
SKU001,2024-06-21,45,独立站
SKU002,2024-06-21,83,亚马逊
SKU002,2024-06-21,36,独立站
SKU003,2024-06-21,154,亚马逊
SKU003,2024-06-21,87,独立站
SKU001,2024-06-22,117,亚马逊
SKU001,2024-06-22,61,独立站
SKU002,2024-06-22,82,亚马逊
SKU002,2024-06-22,29,独立站
SKU003,2024-06-22,177,亚马逊
SKU003,2024-06-22,87,独立站
SKU001,2024-06-23,119,亚马逊
SKU001,2024-06-23,56,独立站
SKU002,2024-06-23,88,亚马逊
SKU002,2024-06-23,36,独立站
SKU003,2024-06-23,156,亚马逊
SKU003,2024-06-23,68,独立站
SKU001,2024-06-24,132,亚马逊
SKU001,2024-06-24,55,独立站
SKU002,2024-06-24,67,亚马逊
SKU002,2024-06-24,31,独立站
SKU003,2024-06-24,159,亚马逊
SKU003,2024-06-24,56,独立站
SKU001,2024-06-25,93,亚马逊
SKU001,2024-06-25,43,独立站
SKU002,2024-06-25,94,亚马逊
SKU002,2024-06-25,38,独立站
SKU003,2024-06-25,159,亚马逊
SKU003,2024-06-25,78,独立站
SKU001,2024-06-26,126,亚马逊
SKU001,2024-06-26,60,独立站
SKU002,2024-06-26,72,亚马逊
SKU002,2024-06-26,32,独立站
SKU003,2024-06-26,180,亚马逊
SKU003,2024-06-26,71,独立站
SKU001,2024-06-27,109,亚马逊
SKU001,2024-06-27,51,独立站
SKU002,2024-06-27,80,亚马逊
SKU002,2024-06-27,35,独立站
SKU003,2024-06-27,181,亚马逊
SKU003,2024-06-27,72,独立站
SKU001,2024-06-28,121,亚马逊
SKU001,2024-06-28,62,独立站
SKU002,2024-06-28,98,亚马逊
SKU002,2024-06-28,44,独立站
SKU003,2024-06-28,179,亚马逊
SKU003,2024-06-28,76,独立站
SKU001,2024-06-29,110,亚马逊
SKU001,2024-06-29,56,独立站
SKU002,2024-06-29,77,亚马逊
SKU002,2024-06-29,34,独立站
SKU003,2024-06-29,153,亚马逊
SKU003,2024-06-29,64,独立站
SKU001,2024-06-30,141,亚马逊
SKU001,2024-06-30,57,独立站
SKU002,2024-06-30,70,亚马逊
SKU002,2024-06-30,34,独立站
SKU003,2024-06-30,176,亚马逊
SKU003,2024-06-30,65,独立站
SKU001,2024-07-01,109,亚马逊
SKU001,2024-07-01,43,独立站
SKU002,2024-07-01,65,亚马逊
SKU002,2024-07-01,36,独立站
SKU003,2024-07-01,176,亚马逊
SKU003,2024-07-01,70,独立站
SKU001,2024-07-02,91,亚马逊
SKU001,2024-07-02,38,独立站
SKU002,2024-07-02,81,亚马逊
SKU002,2024-07-02,33,独立站
SKU003,2024-07-02,141,亚马逊
SKU003,2024-07-02,80,独立站
SKU001,2024-07-03,116,亚马逊
SKU001,2024-07-03,44,独立站
SKU002,2024-07-03,78,亚马逊
SKU002,2024-07-03,35,独立站
SKU003,2024-07-03,146,亚马逊
SKU003,2024-07-03,67,独立站
SKU001,2024-07-04,131,亚马逊
SKU001,2024-07-04,45,独立站
SKU002,2024-07-04,63,亚马逊
SKU002,2024-07-04,28,独立站
SKU003,2024-07-04,150,亚马逊
SKU003,2024-07-04,52,独立站
SKU001,2024-07-05,117,亚马逊
SKU001,2024-07-05,46,独立站
SKU002,2024-07-05,64,亚马逊
SKU002,2024-07-05,32,独立站
SKU003,2024-07-05,167,亚马逊
SKU003,2024-07-05,65,独立站
SKU001,2024-07-06,120,亚马逊
SKU001,2024-07-06,50,独立站
SKU002,2024-07-06,67,亚马逊
SKU002,2024-07-06,32,独立站
SKU003,2024-07-06,197,亚马逊
SKU003,2024-07-06,83,独立站
SKU001,2024-07-07,121,亚马逊
SKU001,2024-07-07,43,独立站
SKU002,2024-07-07,67,亚马逊
SKU002,2024-07-07,31,独立站
SKU003,2024-07-07,166,亚马逊
SKU003,2024-07-07,69,独立站
SKU001,2024-07-08,114,亚马逊
SKU001,2024-07-08,53,独立站
SKU002,2024-07-08,78,亚马逊
SKU002,2024-07-08,34,独立站
SKU003,2024-07-08,145,亚马逊
SKU003,2024-07-08,68,独立站
SKU001,2024-07-09,114,亚马逊
SKU001,2024-07-09,41,独立站
SKU002,2024-07-09,67,亚马逊
SKU002,2024-07-09,30,独立站
SKU003,2024-07-09,136,亚马逊
SKU003,2024-07-09,66,独立站
SKU001,2024-07-10,112,亚马逊
SKU001,2024-07-10,40,独立站
SKU002,2024-07-10,75,亚马逊
SKU002,2024-07-10,27,独立站
SKU003,2024-07-10,157,亚马逊
SKU003,2024-07-10,63,独立站
SKU001,2024-07-11,130,亚马逊
SKU001,2024-07-11,46,独立站
SKU002,2024-07-11,68,亚马逊
SKU002,2024-07-11,31,独立站
SKU003,2024-07-11,155,亚马逊
SKU003,2024-07-11,66,独立站
SKU001,2024-07-12,121,亚马逊
SKU001,2024-07-12,41,独立站
SKU002,2024-07-12,67,亚马逊
SKU002,2024-07-12,23,独立站
SKU003,2024-07-12,178,亚马逊
SKU003,2024-07-12,73,独立站
SKU001,2024-07-13,104,亚马逊
SKU001,2024-07-13,44,独立站
SKU002,2024-07-13,73,亚马逊
SKU002,2024-07-13,31,独立站
SKU003,2024-07-13,159,亚马逊
SKU003,2024-07-13,80,独立站
SKU001,2024-07-14,111,亚马逊
SKU001,2024-07-14,41,独立站
SKU002,2024-07-14,75,亚马逊
SKU002,2024-07-14,31,独立站
SKU003,2024-07-14,165,亚马逊
SKU003,2024-07-14,65,独立站
SKU001,2024-07-15,92,亚马逊
SKU001,2024-07-15,40,独立站
SKU002,2024-07-15,61,亚马逊
SKU002,2024-07-15,27,独立站
SKU003,2024-07-15,202,亚马逊
SKU003,2024-07-15,85,独立站
SKU001,2024-07-16,117,亚马逊
SKU001,2024-07-16,47,独立站
SKU002,2024-07-16,69,亚马逊
SKU002,2024-07-16,32,独立站
SKU003,2024-07-16,182,亚马逊
SKU003,2024-07-16,68,独立站
SKU001,2024-07-17,111,亚马逊
SKU001,2024-07-17,50,独立站
SKU002,2024-07-17,75,亚马逊
SKU002,2024-07-17,29,独立站
SKU003,2024-07-17,149,亚马逊
SKU003,2024-07-17,77,独立站
SKU001,2024-07-18,85,亚马逊
SKU001,2024-07-18,38,独立站
SKU002,2024-07-18,73,亚马逊
SKU002,2024-07-18,31,独立站
SKU003,2024-07-18,133,亚马逊
SKU003,2024-07-18,56,独立站
SKU001,2024-07-19,105,亚马逊
SKU001,2024-07-19,49,独立站
SKU002,2024-07-19,87,亚马逊
SKU002,2024-07-19,31,独立站
SKU003,2024-07-19,155,亚马逊
SKU003,2024-07-19,65,独立站
SKU001,2024-07-20,124,亚马逊
SKU001,2024-07-20,41,独立站
SKU002,2024-07-20,65,亚马逊
SKU002,2024-07-20,28,独立站
SKU003,2024-07-20,173,亚马逊
SKU003,2024-07-20,61,独立站
SKU001,2024-07-21,113,亚马逊
SKU001,2024-07-21,53,独立站
SKU002,2024-07-21,57,亚马逊
SKU002,2024-07-21,28,独立站
SKU003,2024-07-21,120,亚马逊
SKU003,2024-07-21,60,独立站
SKU001,2024-07-22,98,亚马逊
SKU001,2024-07-22,51,独立站
SKU002,2024-07-22,80,亚马逊
SKU002,2024-07-22,26,独立站
SKU003,2024-07-22,159,亚马逊
SKU003,2024-07-22,65,独立站
SKU001,2024-07-23,103,亚马逊
SKU001,2024-07-23,49,独立站
SKU002,2024-07-23,63,亚马逊
SKU002,2024-07-23,31,独立站
SKU003,2024-07-23,121,亚马逊
SKU003,2024-07-23,52,独立站
SKU001,2024-07-24,107,亚马逊
SKU001,2024-07-24,46,独立站
SKU002,2024-07-24,72,亚马逊
SKU002,2024-07-24,27,独立站
SKU003,2024-07-24,190,亚马逊
SKU003,2024-07-24,78,独立站
SKU001,2024-07-25,109,亚马逊
SKU001,2024-07-25,40,独立站
SKU002,2024-07-25,68,亚马逊
SKU002,2024-07-25,29,独立站
SKU003,2024-07-25,161,亚马逊
SKU003,2024-07-25,68,独立站
SKU001,2024-07-26,119,亚马逊
SKU001,2024-07-26,49,独立站
SKU002,2024-07-26,77,亚马逊
SKU002,2024-07-26,30,独立站
SKU003,2024-07-26,128,亚马逊
SKU003,2024-07-26,69,独立站
SKU001,2024-07-27,91,亚马逊
SKU001,2024-07-27,41,独立站
SKU002,2024-07-27,71,亚马逊
SKU002,2024-07-27,28,独立站
SKU003,2024-07-27,180,亚马逊
SKU003,2024-07-27,77,独立站
SKU001,2024-07-28,96,亚马逊
SKU001,2024-07-28,44,独立站
SKU002,2024-07-28,77,亚马逊
SKU002,2024-07-28,32,独立站
SKU003,2024-07-28,138,亚马逊
SKU003,2024-07-28,70,独立站
SKU001,2024-07-29,112,亚马逊
SKU001,2024-07-29,50,独立站
SKU002,2024-07-29,70,亚马逊
SKU002,2024-07-29,33,独立站
SKU003,2024-07-29,173,亚马逊
SKU003,2024-07-29,75,独立站
SKU001,2024-07-30,110,亚马逊
SKU001,2024-07-30,42,独立站
SKU002,2024-07-30,64,亚马逊
SKU002,2024-07-30,32,独立站
SKU003,2024-07-30,182,亚马逊
SKU003,2024-07-30,68,独立站
SKU001,2024-07-31,94,亚马逊
SKU001,2024-07-31,49,独立站
SKU002,2024-07-31,71,亚马逊
SKU002,2024-07-31,26,独立站
SKU003,2024-07-31,160,亚马逊
SKU003,2024-07-31,87,独立站
SKU001,2024-08-01,89,亚马逊
SKU001,2024-08-01,35,独立站
SKU002,2024-08-01,68,亚马逊
SKU002,2024-08-01,27,独立站
SKU003,2024-08-01,145,亚马逊
SKU003,2024-08-01,53,独立站
SKU001,2024-08-02,80,亚马逊
SKU001,2024-08-02,32,独立站
SKU002,2024-08-02,67,亚马逊
SKU002,2024-08-02,28,独立站
SKU003,2024-08-02,123,亚马逊
SKU003,2024-08-02,64,独立站
SKU001,2024-08-03,85,亚马逊
SKU001,2024-08-03,44,独立站
SKU002,2024-08-03,65,亚马逊
SKU002,2024-08-03,24,独立站
SKU003,2024-08-03,149,亚马逊
SKU003,2024-08-03,71,独立站
SKU001,2024-08-04,72,亚马逊
SKU001,2024-08-04,34,独立站
SKU002,2024-08-04,54,亚马逊
SKU002,2024-08-04,22,独立站
SKU003,2024-08-04,127,亚马逊
SKU003,2024-08-04,57,独立站
SKU001,2024-08-05,85,亚马逊
SKU001,2024-08-05,39,独立站
SKU002,2024-08-05,73,亚马逊
SKU002,2024-08-05,31,独立站
SKU003,2024-08-05,124,亚马逊
SKU003,2024-08-05,61,独立站
SKU001,2024-08-06,98,亚马逊
SKU001,2024-08-06,35,独立站
SKU002,2024-08-06,63,亚马逊
SKU002,2024-08-06,24,独立站
SKU003,2024-08-06,116,亚马逊
SKU003,2024-08-06,61,独立站
SKU001,2024-08-07,85,亚马逊
SKU001,2024-08-07,43,独立站
SKU002,2024-08-07,69,亚马逊
SKU002,2024-08-07,28,独立站
SKU003,2024-08-07,110,亚马逊
SKU003,2024-08-07,46,独立站
SKU001,2024-08-08,106,亚马逊
SKU001,2024-08-08,44,独立站
SKU002,2024-08-08,66,亚马逊
SKU002,2024-08-08,27,独立站
SKU003,2024-08-08,146,亚马逊
SKU003,2024-08-08,60,独立站
SKU001,2024-08-09,78,亚马逊
SKU001,2024-08-09,37,独立站
SKU002,2024-08-09,68,亚马逊
SKU002,2024-08-09,27,独立站
SKU003,2024-08-09,152,亚马逊
SKU003,2024-08-09,50,独立站
SKU001,2024-08-10,93,亚马逊
SKU001,2024-08-10,41,独立站
SKU002,2024-08-10,56,亚马逊
SKU002,2024-08-10,28,独立站
SKU003,2024-08-10,151,亚马逊
SKU003,2024-08-10,65,独立站
SKU001,2024-08-11,76,亚马逊
SKU001,2024-08-11,43,独立站
SKU002,2024-08-11,60,亚马逊
SKU002,2024-08-11,22,独立站
SKU003,2024-08-11,164,亚马逊
SKU003,2024-08-11,56,独立站
SKU001,2024-08-12,83,亚马逊
SKU001,2024-08-12,37,独立站
SKU002,2024-08-12,60,亚马逊
SKU002,2024-08-12,30,独立站
SKU003,2024-08-12,135,亚马逊
SKU003,2024-08-12,58,独立站
SKU001,2024-08-13,82,亚马逊
SKU001,2024-08-13,28,独立站
SKU002,2024-08-13,73,亚马逊
SKU002,2024-08-13,25,独立站
SKU003,2024-08-13,136,亚马逊
SKU003,2024-08-13,61,独立站
SKU001,2024-08-14,79,亚马逊
SKU001,2024-08-14,43,独立站
SKU002,2024-08-14,69,亚马逊
SKU002,2024-08-14,25,独立站
SKU003,2024-08-14,163,亚马逊
SKU003,2024-08-14,64,独立站
SKU001,2024-08-15,96,亚马逊
SKU001,2024-08-15,40,独立站
SKU002,2024-08-15,61,亚马逊
SKU002,2024-08-15,25,独立站
SKU003,2024-08-15,124,亚马逊
SKU003,2024-08-15,46,独立站
SKU001,2024-08-16,107,亚马逊
SKU001,2024-08-16,47,独立站
SKU002,2024-08-16,62,亚马逊
SKU002,2024-08-16,29,独立站
SKU003,2024-08-16,130,亚马逊
SKU003,2024-08-16,58,独立站
SKU001,2024-08-17,95,亚马逊
SKU001,2024-08-17,37,独立站
SKU002,2024-08-17,63,亚马逊
SKU002,2024-08-17,22,独立站
SKU003,2024-08-17,144,亚马逊
SKU003,2024-08-17,64,独立站
SKU001,2024-08-18,76,亚马逊
SKU001,2024-08-18,34,独立站
SKU002,2024-08-18,68,亚马逊
SKU002,2024-08-18,24,独立站
SKU003,2024-08-18,120,亚马逊
SKU003,2024-08-18,46,独立站
SKU001,2024-08-19,82,亚马逊
SKU001,2024-08-19,38,独立站
SKU002,2024-08-19,64,亚马逊
SKU002,2024-08-19,25,独立站
SKU003,2024-08-19,125,亚马逊
SKU003,2024-08-19,50,独立站
SKU001,2024-08-20,78,亚马逊
SKU001,2024-08-20,39,独立站
SKU002,2024-08-20,56,亚马逊
SKU002,2024-08-20,26,独立站
SKU003,2024-08-20,147,亚马逊
SKU003,2024-08-20,67,独立站
SKU001,2024-08-21,105,亚马逊
SKU001,2024-08-21,34,独立站
SKU002,2024-08-21,55,亚马逊
SKU002,2024-08-21,23,独立站
SKU003,2024-08-21,129,亚马逊
SKU003,2024-08-21,52,独立站
SKU001,2024-08-22,85,亚马逊
SKU001,2024-08-22,37,独立站
SKU002,2024-08-22,72,亚马逊
SKU002,2024-08-22,23,独立站
SKU003,2024-08-22,118,亚马逊
SKU003,2024-08-22,47,独立站
SKU001,2024-08-23,95,亚马逊
SKU001,2024-08-23,41,独立站
SKU002,2024-08-23,58,亚马逊
SKU002,2024-08-23,24,独立站
SKU003,2024-08-23,109,亚马逊
SKU003,2024-08-23,51,独立站
SKU001,2024-08-24,78,亚马逊
SKU001,2024-08-24,37,独立站
SKU002,2024-08-24,68,亚马逊
SKU002,2024-08-24,27,独立站
SKU003,2024-08-24,123,亚马逊
SKU003,2024-08-24,44,独立站
SKU001,2024-08-25,107,亚马逊
SKU001,2024-08-25,49,独立站
SKU002,2024-08-25,70,亚马逊
SKU002,2024-08-25,24,独立站
SKU003,2024-08-25,154,亚马逊
SKU003,2024-08-25,51,独立站
SKU001,2024-08-26,69,亚马逊
SKU001,2024-08-26,33,独立站
SKU002,2024-08-26,57,亚马逊
SKU002,2024-08-26,25,独立站
SKU003,2024-08-26,112,亚马逊
SKU003,2024-08-26,55,独立站
SKU001,2024-08-27,88,亚马逊
SKU001,2024-08-27,42,独立站
SKU002,2024-08-27,69,亚马逊
SKU002,2024-08-27,27,独立站
SKU003,2024-08-27,147,亚马逊
SKU003,2024-08-27,55,独立站
SKU001,2024-08-28,98,亚马逊
SKU001,2024-08-28,46,独立站
SKU002,2024-08-28,62,亚马逊
SKU002,2024-08-28,26,独立站
SKU003,2024-08-28,125,亚马逊
SKU003,2024-08-28,58,独立站
SKU001,2024-08-29,94,亚马逊
SKU001,2024-08-29,43,独立站
SKU002,2024-08-29,63,亚马逊
SKU002,2024-08-29,25,独立站
SKU003,2024-08-29,145,亚马逊
SKU003,2024-08-29,56,独立站
SKU001,2024-08-30,79,亚马逊
SKU001,2024-08-30,32,独立站
SKU002,2024-08-30,67,亚马逊
SKU002,2024-08-30,29,独立站
SKU003,2024-08-30,123,亚马逊
SKU003,2024-08-30,51,独立站
SKU001,2024-08-31,94,亚马逊
SKU001,2024-08-31,39,独立站
SKU002,2024-08-31,60,亚马逊
SKU002,2024-08-31,22,独立站
SKU003,2024-08-31,133,亚马逊
SKU003,2024-08-31,48,独立站
SKU001,2024-09-01,75,亚马逊
SKU001,2024-09-01,36,独立站
SKU002,2024-09-01,50,亚马逊
SKU002,2024-09-01,19,独立站
SKU003,2024-09-01,104,亚马逊
SKU003,2024-09-01,42,独立站
SKU001,2024-09-02,82,亚马逊
